	rooms	price	area	address	date	x	y	squaremeter price
0	5.0	1625.0	135.32	Soldiner Straße 20, Wedding (Wedding), Berlin	2017	390743.5560008486	5824393.7891163975	12.008572273130358
1	3.0	808.0	86.74	Wünsdorfer Straße 18a, Lichtenrade (Tempelhof), Berlin	2017	390399.45923542476	5806381.440460578	9.315194835139497
2	1.0	450.0	20.0	Tino-Schwierzina-Straße 30, Heinersdorf (Weißensee), Berlin	2017	393804.03055886045	5824582.153917615	22.5
3	3.0	1350.0	111.74	Naugarder Straße 14, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	394090.67580673436	5822725.328034808	12.081618041882944
4	2.0	513.0	57.0	Hedwigstr. 6, Spandau (Spandau), Berlin	2017	378179.2959925924	5823653.2602854725	9.0
5	2.0	585.0	63.0	Antonienstr. 39, Reinickendorf (Reinickendorf), Berlin	2017	385647.39203213545	5826218.469553956	9.285714285714286
6	3.0	730.0	82.0	Grünauer Straße 129, Köpenick (Köpenick), Berlin	2017	402911.131105704	5810484.566894825	8.902439024390244
7	2.0	391.0	50.18	Groß-Ziethener Chaussee 159, Rudow (Neukölln), Berlin	2017	396272.1074858249	5807626.544355278	7.791948983658828
8	4.0	1990.0	153.15	Am Volkspark 81, Wilmersdorf (Wilmersdorf), Berlin	2017	386022.3124507992	5816069.6661724085	12.993796931113287
9	4.0	1587.81	102.45	Chausseestraße 39, Mitte (Mitte), Berlin	2017	390071.2194288045	5821621.391456958	15.498389458272326
10	3.0	1302.12	80.12	Chausseestraße 39, Mitte (Mitte), Berlin	2017	390071.2194288045	5821621.391456958	16.252121817274087
11	2.0	877.96	53.22	Chausseestraße 41, Mitte (Mitte), Berlin	2017	390023.48177903186	5821685.15750894	16.496805712138293
12	4.0	2208.9	147.26	Corneliusstraße 3, Tiergarten (Tiergarten), Berlin	2017	388021.42722430156	5818703.427390417	15.000000000000002
13	2.5	741.2	78.02	Dunckerstraße 46, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	393455.1757554026	5823532.782516748	9.500128172263523
14	1.0	550.0	42.0	Flatowallee 16, Charlottenburg (Charlottenburg), Berlin	2017	380839.8007041874	5819244.08003738	13.095238095238095
15	5.0	1709.0	136.73	Hochstraße 20, Wedding (Wedding), Berlin	2017	390125.70338267	5822978.945552939	12.499085789512177
16	2.0	481.0	65.25	Hedwigstraße 8, Spandau (Spandau), Berlin	2017	378189.093132869	5823615.156146516	7.371647509578544
17	4.0	1670.0	127.2	Kopenhagener Straße 48, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	391789.87870272	5823229.986441743	13.128930817610062
18	3.0	1870.0	141.0	Spenerstraße 11, Tiergarten (Tiergarten), Berlin	2017	388233.6903453904	5820359.803689303	13.26241134751773
19	2.0	1870.0	141.0	Spenerstraße 11, Tiergarten (Tiergarten), Berlin	2017	388233.6903453904	5820359.803689303	13.26241134751773
20	2.0	1100.4	91.7	Eberhard-Roters-Platz 12, Kreuzberg (Kreuzberg), Berlin	2017	390059.78101317096	5816304.542948439	12.0
21	2.0	684.0	57.0	Mierendorffplatz 11, Charlottenburg (Charlottenburg), Berlin	2017	384920.0593708926	5820908.686695564	12.0
22	3.0	1400.0	100.0	Chausseestraße 37, Mitte (Mitte), Berlin	2017	390109.9826398697	5821568.298586357	14.0
23	3.0	1182.0	129.77	Sorauer Straße 31, Kreuzberg (Kreuzberg), Berlin	2017	394053.4107395442	5817737.116035285	9.108422593819835
24	1.0	274.47	33.93	Blumberger Damm 6, Biesdorf (Marzahn), Berlin	2017	402797.02640699776	5820499.18052922	8.089301503094607
25	3.0	521.0	68.25	Lynarstraße 16, Spandau (Spandau), Berlin	2017	378133.3802284116	5823588.120742325	7.633699633699634
26	2.0	608.0	65.0	Weisestraße 65, Neukölln (Neukölln), Berlin	2017	392923.3061344964	5815623.9953466775	9.353846153846154
27	3.0	733.0	104.42	Damerowstraße 53, Pankow (Pankow), Berlin	2017	392977.3451994007	5825964.874217573	7.019728021451829
28	2.0	598.0	80.71	Wassermannstraße 69, Adlershof (Treptow), Berlin	2017	401515.9913369342	5810992.486480027	7.409242968653204
29	3.0	501.0	89.6	Lynarstr. 9, Spandau (Spandau), Berlin	2017	378457.2351589426	5823609.733216062	5.591517857142858
30	3.0	596.0	95.77	Britzer Straße 22, Niederschöneweide (Treptow), Berlin	2017	399221.1465272587	5812432.362469573	6.223243186801713
31	2.0	532.0	56.63	Alt-Friedrichsfelde 122, Friedrichsfelde (Lichtenberg), Berlin	2017	398686.60203382827	5818881.052308752	9.394313967861557
32	1.0	520.0	38.0	Emserstraße 71, Neukölln (Neukölln), Berlin	2017	392771.35536981904	5814221.778456945	13.68421052631579
33	3.0	807.0	79.87	Gensinger Straße 13, Friedrichsfelde (Lichtenberg), Berlin	2017	400067.01151242375	5819114.195586861	10.103918868160761
34	3.0	849.0	84.85	Gensinger Straße 17, Friedrichsfelde (Lichtenberg), Berlin	2017	400108.9030613489	5819110.503864262	10.005892751915145
35	3.0	960.0	95.59	Provinzstraße 105, Reinickendorf (Reinickendorf), Berlin	2017	390057.2304985728	5825167.3742372785	10.042891515848938
36	3.0	820.0	74.24	Soldiner Straße 69, Wedding (Wedding), Berlin	2017	390265.39542502287	5824513.302014467	11.045258620689657
37	3.0	1020.0	77.85	Groninger Straße 37, Wedding (Wedding), Berlin	2017	388892.8931820922	5823982.577481866	13.102119460500964
38	3.0	995.0	80.0	Wilhelmsaue 2, Wilmersdorf (Wilmersdorf), Berlin	2017	386618.0097716684	5816322.348849872	12.4375
39	3.0	799.0	72.38	Schillerstraße 8, Niederschönhausen (Pankow), Berlin	2017	392054.18779397977	5827954.129530272	11.03896103896104
40	3.0	1430.0	108.0	Kaiserin-Augusta-Allee 48, Charlottenburg (Charlottenburg), Berlin	2017	385153.7019442621	5820894.431846414	13.24074074074074
41	3.0	817.0	90.07	Wünsdorfer Straße 16, Lichtenrade (Tempelhof), Berlin	2017	390440.8967514592	5806425.628048628	9.070722771177973
42	5.0	2500.0	189.06	Clausewitzstraße 6, Charlottenburg (Charlottenburg), Berlin	2017	385263.3635308794	5818101.68829044	13.223315349624457
43	2.0	760.0	63.0	Saargemünder Str. 25, Dahlem (Zehlendorf), Berlin	2017	382543.6345698799	5812598.3158652885	12.063492063492063
44	4.0	1501.44	176.64	Angerburger Allee 49, Charlottenburg (Charlottenburg), Berlin	2017	379283.50793711335	5819174.579526725	8.500000000000002
45	3.0	1664.83	108.8	Chausseestraße 60a, Mitte (Mitte), Berlin	2017	389850.0069157411	5821976.288156892	15.30174632352941
46	3.0	1045.0	95.0	Pfarrstraße 118, Lichtenberg (Lichtenberg), Berlin	2017	396582.454124965	5818282.61002942	11.0
47	3.0	910.0	84.0	Rudower Chaussee 5, Adlershof (Treptow), Berlin	2017	400588.67373579385	5810284.479458792	10.833333333333334
48	2.0	485.92	52.99	Ernststr. 1, Tegel (Reinickendorf), Berlin	2017	384159.8965911492	5827212.4922693325	9.170032081524816
49	1.0	480.0	30.0	Slabystr. 18, Oberschöneweide (Köpenick), Berlin	2017	400152.70881958585	5813122.907899811	16.0
50	3.0	820.0	82.0	Schlieperstraße 78, Tegel (Reinickendorf), Berlin	2017	384048.9936277045	5827693.263909971	10.0
51	3.0	1089.14	118.0	Hobrechtsfelder Chaussee 166B, Buch (Pankow), Berlin	2017	396965.00500014273	5833501.783059591	9.23
52	2.0	820.0	80.0	Hertzstraße 29, Rosenthal (Pankow), Berlin	2017	389104.19522820064	5827363.79263744	10.25
53	3.0	793.0	88.0	Heinrich-Böll-Straße 4, Niederschönhausen (Pankow), Berlin	2017	391759.3860864251	5827572.773434643	9.011363636363637
54	2.0	599.0	66.0	Dietzgenstraße 66, Niederschönhausen (Pankow), Berlin	2017	391736.509333132	5827501.996090226	9.075757575757576
55	3.0	834.0	93.0	Dietzgenstraße 68, Niederschönhausen (Pankow), Berlin	2017	391725.2376019692	5827547.53573388	8.96774193548387
56	4.0	2200.0	147.0	Schlüterstr. 76, Charlottenburg (Charlottenburg), Berlin	2017	385872.6811415138	5819012.200695816	14.965986394557824
57	1.0	754.3	45.0	Müllerstraße 34, Wedding (Wedding), Berlin	2017	388528.7430751653	5823314.252128634	16.76222222222222
58	3.0	1200.5	92.56	Pettenkofer Str. 8, Friedrichshain (Friedrichshain), Berlin	2017	396338.70617285866	5819630.8145007435	12.969965427830596
59	4.0	1617.0	135.92	Hasenheide 8, Kreuzberg (Kreuzberg), Berlin	2017	392883.5637285584	5816394.780629396	11.896703943496176
60	4.0	1557.0	158.0	An der Wuhlheide 234 c, Oberschöneweide (Köpenick), Berlin	2017	401633.6048065973	5812637.4912988935	9.854430379746836
61	2.0	1500.0	65.0	Neue Grünstrasse 2, Mitte (Mitte), Berlin	2017	391714.9467501493	5818770.441632749	23.076923076923077
62	4.0	1650.0	116.56	Quendelsteig 21, Nikolassee (Zehlendorf), Berlin	2017	378766.7807052128	5809758.077377852	14.15579958819492
63	2.0	550.0	60.41	Treskowallee 78, Karlshorst (Lichtenberg), Berlin	2017	399934.3981398795	5816027.503089119	9.104452905148154
64	1.0	570.0	22.0	Storkower Straße 158, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	395260.8007556471	5821130.17346039	25.90909090909091
65	3.0	799.0	79.87	Gensinger Straße 13, Friedrichsfelde (Lichtenberg), Berlin	2017	400067.01151242375	5819114.195586861	10.003756103668461
66	3.0	849.0	84.85	Gensinger Straße 11, Friedrichsfelde (Lichtenberg), Berlin	2017	400045.6523952968	5819116.077833949	10.005892751915145
67	3.0	1498.0	107.0	Saargemünder Straße  25, Dahlem (Zehlendorf), Berlin	2017	382543.6345698799	5812598.3158652885	14.0
68	4.0	1649.0	168.2	Groß-Berliner-Damm 132, Adlershof (Treptow), Berlin	2017	399988.57281701313	5810598.361359793	9.803804994054698
69	2.0	728.23	88.7	Allee der Kosmonauten 112, Biesdorf (Marzahn), Berlin	2017	401578.7206957503	5820829.215283	8.210033821871477
70	1.0	625.0	54.0	Gross-Berliner-Damm 136-138, Adlershof (Treptow), Berlin	2017	399988.57281701313	5810598.361359793	11.574074074074074
71	3.0	997.66	114.41	Trützschlerstr. 1, Johannisthal (Treptow), Berlin	2017	398465.8922585886	5811658.312638929	8.720041954374617
72	2.0	585.0	63.95	Antonienstrasse 39, Reinickendorf (Reinickendorf), Berlin	2017	385647.39203213545	5826218.469553956	9.147771696637998
73	2.0	649.94	53.1	Stellingdamm 9, Köpenick (Köpenick), Berlin	2017	403715.6727800117	5813055.741723245	12.239924670433146
74	3.0	870.0	76.04	Kleiststraße 37, Schöneberg (Schöneberg), Berlin	2017	387976.407331788	5817895.372102805	11.441346659652813
75	1.5	379.0	39.48	Naumburger Ring 46, Hellersdorf (Hellersdorf), Berlin	2017	405742.0822354461	5821830.824620392	9.599797365754814
76	3.0	449.0	55.84	Kastanienallee 64, Hellersdorf (Hellersdorf), Berlin	2017	405171.6117272379	5822088.009091322	8.040830945558739
77	3.0	449.0	52.97	Havelländer Ring 31, Hellersdorf (Hellersdorf), Berlin	2017	404805.4733889911	5822300.692978596	8.47649612988484
78	3.0	848.0	83.0	Charlottenstr. 61, Niederschönhausen (Pankow), Berlin	2017	392504.6240258464	5827460.810837403	10.216867469879517
79	4.0	2988.0	132.56	Bleibtreustraße 25, Charlottenburg (Charlottenburg), Berlin	2017	385897.7185138153	5818040.9857408125	22.540736270368136
80	3.0	1079.0	141.75	Kaiserdamm 32, Charlottenburg (Charlottenburg), Berlin	2017	383170.1186785066	5819167.754997848	7.6119929453262785
81	2.0	1127.0	80.5	Rigaer Str. 18C, Friedrichshain (Friedrichshain), Berlin	2017	395411.4653724005	5819702.990867906	14.0
82	2.0	1073.27	97.57	Düsseldorfer Straße 31, Wilmersdorf (Wilmersdorf), Berlin	2017	385350.04042344383	5817684.582767856	11.0
83	2.0	408.05	65.08	Andreasberger Straße 10, Britz (Neukölln), Berlin	2017	393101.2889735503	5813300.143966517	6.2699754148740015
84	3.0	677.0	79.63	Plauener Str. 85b, Alt-Hohenschönhausen (Hohenschönhausen), Berlin	2017	398851.9677155679	5822045.13936027	8.501820921763155
85	3.0	886.82	80.62	Imbrosweg 70, Mariendorf (Tempelhof), Berlin	2017	391935.85177115357	5811420.826984867	11.0
86	1.0	430.0	41.87	Schönhauser Allee 51, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	392361.13916387607	5822594.317676402	10.269882971101028
87	2.0	1200.0	75.0	Schwartzkopffstraße 1A, Mitte (Mitte), Berlin	2017	390070.27732184366	5821736.262146083	16.0
88	3.0	3900.0	208.0	Linienstraße 40, Mitte (Mitte), Berlin	2017	392130.72956774407	5820989.2067353185	18.75
89	3.0	999.0	139.18	Hakenfelder Straße 10a, Spandau (Spandau), Berlin	2017	378018.18761613383	5825505.92998495	7.177755424629975
90	2.0	729.0	75.0	Niebergallstraße 20, Köpenick (Köpenick), Berlin	2017	403964.38114199036	5808253.122881281	9.72
91	2.0	2200.0	146.0	Hausvogteiplatz 14, Mitte (Mitte), Berlin	2017	391218.15927198814	5819317.774824487	15.068493150684931
92	6.0	3468.0	204.0	Reichenberger Straße 88, Kreuzberg (Kreuzberg), Berlin	2017	393938.5939262185	5817036.1049954975	17.0
